Title ,url
SBI Bluechip Fund (Large Cap),https://www.sbimf.com/sbimf-scheme-details/sbi-large-cap-fund-(formerly-known-as-sbi-bluechip-fund)-43
SBI Flexicap Fund,http://sbimf.com/sbimf-scheme-details/sbi-flexicap-fund-39
SBI Small Cap Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-small-cap-fund-329
SBI Long Term Equity Fund (ELSS),https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund
SBI Magnum Midcap Fund,https://www.sbimf.com/sbimf-scheme-details/sbi-midcap-fund-34
SBI Bluechip Fund (Large Cap) Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-largecap-fund-factsheet-january-2026.pdf?sfvrsn=32d50e47_2
SBI Flexicap Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-flexicap-fund-factsheet-january-2026.pdf?sfvrsn=1e77f738_2
SBI Small Cap Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-small-cap-fund-factsheet-january-2026.pdf?sfvrsn=fbc94e2e_2
SBI Long Term Equity Fund (ELSS) Factsheet,https://www.sbimf.com/docs/default-source/scheme-portfolios/default-library/kim---sbi-long-term-equity-fund3418b4cc713e4fe2ad09ac5fc0bea6b5.pdf?sfvrsn=e926fb9b_2
SBI Magnum Midcap Fund Factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-midcap-fund-factsheet-january-2026.pdf?sfvrsn=1e7fbdc8_2
SBI Mutual Fund expense ratio,https://www.sbimf.com/total-expense-ratio-of-mutual-fund-schemes
SBI Flexicap Fund,https://www.sbimf.com/campaign/sbi-multicap-fund/assets/pdf/nfo%20-%20baf%20faqs.pdf
SBI Mutual Fund statement download,https://online.sbimf.com/statement
SBI Mutual Fund capital gains statement,https://online.sbimf.com/statement
SEBI FAQs,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doFaq=yes
AMFI education,https://www.bajajfinserv.in/investments/what-is-amfi
